Code;Country;Region;Type;Cost
PL;Poland;Europe;Google ADS;34055.8
DE;Germany;Europe;Google ADS;82180.2
IE;Ireland;Europe;Google ADS;21159.8
UA;Ukraine;Europe;Google ADS;16386.7
LT;Lithuania;Europe;Google ADS;4117.2
GB;United Kingdom;Europe;Google ADS;13722.8
CZ;Czech Republic;Europe;Google ADS;15113.3
DK;Denmark;Europe;Google ADS;15229.0
IT;Italy;Europe;Google ADS;12637.1
MT;Malta;Europe;Google ADS;16790.4
ES;Spain;Europe;Google ADS;3564.5
FR;France;Europe;Google ADS;6646.3
CH;Switzerland;Europe;Google ADS;20698.4
HU;Hungary;Europe;Google ADS;8967.0
NL;Netherlands;Europe;Google ADS;11515.2
LU;Luxembourg;Europe;Google ADS;12039.4
PT;Portugal;Europe;Google ADS;9813.3
GE;Georgia;Europe;Google ADS;19673.8
IS;Iceland;Europe;Google ADS;7192.8
SE;Sweden;Europe;Google ADS;12955.0
BY;Belarus;Europe;Google ADS;9977.3
SK;Slovakia;Europe;Google ADS;13029.7
NO;Norway;Europe;Google ADS;9666.1
FI;Finland;Europe;Google ADS;9058.7
BE;Belgium;Europe;Google ADS;16840.4
TR;Turkey;Europe;Google ADS;10257.9
AT;Austria;Europe;Google ADS;13813.0
BG;Bulgaria;Europe;Google ADS;4159.1
RS;Serbia;Europe;Google ADS;11064.5
EE;Estonia;Europe;Google ADS;10928.8
GR;Greece;Europe;Google ADS;19574.4
HR;Croatia;Europe;Google ADS;15706.2
SI;Slovenia;Europe;Google ADS;13845.1
RO;Romania;Europe;Google ADS;19130.4
LV;Latvia;Europe;Google ADS;6934.5
PL;Poland;Europe;Meta ADS;33467.2
DE;Germany;Europe;Meta ADS;35798.0
IE;Ireland;Europe;Meta ADS;6543.2
UA;Ukraine;Europe;Meta ADS;16578.2
LT;Lithuania;Europe;Meta ADS;11892.0
GB;United Kingdom;Europe;Meta ADS;8039.7
CZ;Czech Republic;Europe;Meta ADS;13084.1
DK;Denmark;Europe;Meta ADS;3354.4
IT;Italy;Europe;Meta ADS;5971.9
MT;Malta;Europe;Meta ADS;7319.4
ES;Spain;Europe;Meta ADS;11384.9
FR;France;Europe;Meta ADS;14881.3
CH;Switzerland;Europe;Meta ADS;16271.5
HU;Hungary;Europe;Meta ADS;9301.3
NL;Netherlands;Europe;Meta ADS;8626.7
LU;Luxembourg;Europe;Meta ADS;1392.1
PT;Portugal;Europe;Meta ADS;15088.1
GE;Georgia;Europe;Meta ADS;14614.1
IS;Iceland;Europe;Meta ADS;15911.8
SE;Sweden;Europe;Meta ADS;10721.5
BY;Belarus;Europe;Meta ADS;13421.6
SK;Slovakia;Europe;Meta ADS;12358.4
NO;Norway;Europe;Meta ADS;10278.7
FI;Finland;Europe;Meta ADS;12816.9
BE;Belgium;Europe;Meta ADS;6573.8
TR;Turkey;Europe;Meta ADS;3583.7
AT;Austria;Europe;Meta ADS;3000.2
BG;Bulgaria;Europe;Meta ADS;7021.1
RS;Serbia;Europe;Meta ADS;4009.9
EE;Estonia;Europe;Meta ADS;558.8
GR;Greece;Europe;Meta ADS;9158.0
HR;Croatia;Europe;Meta ADS;7935.6
SI;Slovenia;Europe;Meta ADS;11176.1
RO;Romania;Europe;Meta ADS;12277.3
LV;Latvia;Europe;Meta ADS;6304.0
PL;Poland;Europe;Youtube;57220.0
DE;Germany;Europe;Youtube;121773.8
IE;Ireland;Europe;Youtube;21717.1
UA;Ukraine;Europe;Youtube;23132.2
LT;Lithuania;Europe;Youtube;9780.6
GB;United Kingdom;Europe;Youtube;17314.5
CZ;Czech Republic;Europe;Youtube;17750.5
DK;Denmark;Europe;Youtube;11878.4
IT;Italy;Europe;Youtube;13888.7
MT;Malta;Europe;Youtube;15392.3
ES;Spain;Europe;Youtube;25820.9
FR;France;Europe;Youtube;17218.5
CH;Switzerland;Europe;Youtube;15561.9
HU;Hungary;Europe;Youtube;11276.4
NL;Netherlands;Europe;Youtube;4208.3
LU;Luxembourg;Europe;Youtube;10044.5
PT;Portugal;Europe;Youtube;13488.4
GE;Georgia;Europe;Youtube;3102.5
IS;Iceland;Europe;Youtube;9215.7
SE;Sweden;Europe;Youtube;18141.6
BY;Belarus;Europe;Youtube;14088.5
SK;Slovakia;Europe;Youtube;15937.8
NO;Norway;Europe;Youtube;21107.0
FI;Finland;Europe;Youtube;8700.0
BE;Belgium;Europe;Youtube;8460.6
TR;Turkey;Europe;Youtube;26309.2
AT;Austria;Europe;Youtube;710.3
BG;Bulgaria;Europe;Youtube;16303.9
RS;Serbia;Europe;Youtube;14230.3
EE;Estonia;Europe;Youtube;9282.7
GR;Greece;Europe;Youtube;11693.6
HR;Croatia;Europe;Youtube;10461.5
SI;Slovenia;Europe;Youtube;2784.9
RO;Romania;Europe;Youtube;12003.9
LV;Latvia;Europe;Youtube;11797.9
